Assembly,Parliamentary Year,Term,Session No.,Sitting No.,Representative,Bill,Bill Type,Standing Committee
National,1,14,2,1,Mohammad Ishaq Dar[PML-N],"The Finance Bill, 2013
[Support]",Government,"Finance, Revenue, Economic Affairs, Statistics and Privatization"
National,1,14,2,4,"Farooq Hamid Naek[PPPP]
Mohammad Ayaz Soomro[PPPP]","The Torture and Custodial Death (Punishment) Bill, 2014
[Support]",Private,Not Applicable
National,1,14,2,12,Mohammad Ishaq Dar[PML-N],"The Finance Bill, 2013",Government,Not Applicable
National,1,14,4,1,Makhdoom Shah Mahmood Qureshi[PTI],"The Constitution (Amendment) Bill, 2013
[Support]",Private,Not Applicable
National,1,14,4,1,"S. A. Iqbal Qadri[MQM]
Shaikh Salahuddin[MQM]","The National Database and Registration Authority (Amendment) Bill, 2013
[Support]",Private,Not Applicable
National,1,14,4,5,Makhdoom Shah Mahmood Qureshi[PTI],"The Constitution (Amendment) Bill, 2013
[Support]",Private,Not Applicable
National,1,14,4,5,"S. A. Iqbal Qadri[MQM]
Shaikh Salahuddin[MQM]","The National Database and Registration Authority (Amendment) Bill, 2013
[Support]",Private,Not Applicable
National,1,14,4,6,Sheikh Aftab Ahmed[PML-N],"The Civil Servants (Amendment) Ordinance, 2013 (No. 5 of 2013)
[Support]",Government,Cabinet Secretariat
National,1,14,4,10,"Dr. Azra Fazal Pecheho[PPPP]
Ms. Nafisa Shah[PPPP]","The Political Parties Order (Amendment) Bill, 2013
[Support]",Private,Not Applicable
National,1,14,4,10,Makhdoom Shah Mahmood Qureshi[PTI],"The Constitution (Amendment) Bill, 2013
[Support]",Private,Not Applicable
National,1,14,4,10,"S. A. Iqbal Qadri[MQM]
Shaikh Salahuddin[MQM]","The National Database and Registration Authority (Amendment) Bill, 2013
[Support]",Private,Not Applicable
National,1,14,4,10,"Dr. Khalid Maqbool Siddiqui[MQM]
S. A. Iqbal Qadri[MQM]
Shaikh Salahuddin[MQM]
Sufyan Yousuf[MQM]
Dr. Muhammad Farooq Sattar[MQM]
Abdul Rashid Godil[MQM]
Muhammad Muzammil Qureshi[MQM]
Syed Asif Hasnain[MQM]
Sajid Ahmed[MQM]
Saman Sultana Jafri[MQM]","The Islamabad Capital Territory Local Government Bill, 2013
[Support]",Private,Not Applicable
National,1,14,4,11,Sheikh Aftab Ahmed[PML-N],"The Constitution (Twenty third Amendment) Bill, 2013
[Support]",Government,"Law, Justice and Human Rights"
National,1,14,4,13,Sheikh Aftab Ahmed[PML-N],"The Electoral Laws (Amendment) Ordinance, 2013 (No. 4 of 2013)
[Support]",Government,"Law, Justice and Human Rights"
National,1,14,4,13,Sheikh Aftab Ahmed[PML-N],"The Service Tribunals (Amendment) Bill, 2013
[Support]",Government,Cabinet Secretariat
National,1,14,5,1,Sheikh Aftab Ahmed[PML-N],"The Surveying and Mapping Ordinance, 2013 (No. 6 of 2013)
[Support]",Government,Defence
National,1,14,5,2,"Dr. Azra Fazal Pecheho[PPPP]
Ms. Nafisa Shah[PPPP]","The HIV/AIDS (Safety and Control) Bill, 2013
[Support]",Private,"National Health Services, Regulations and Coordination"
National,1,14,5,2,"Maj. Retd. Tahir Iqbal[PML-N]
Ch. Muhammad Hamid Hameed[PML-N]
Malik Shakir Bashir Awan[PML-N]
Abdul Majeed Khan Khanan Khel[PML-N]
Nighat Parveen[PML-N]","The Publication of the Holy Quran (Elimination of Printing and Recording Errors) (Amendment) Bill, 2013
[Support]",Private,Religious Affairs and Inter-faith Harmony
National,1,14,5,2,"Dr. Azra Fazal Pecheho[PPPP]
Ms. Nafisa Shah[PPPP]","The Political Parties Order (Amendment) Bill, 2013
[Support]",Private,Parliamentary Affairs
National,1,14,5,2,"S. A. Iqbal Qadri[MQM]
Shaikh Salahuddin[MQM]","The National Database and Registration Authority (Amendment) Bill, 2013
[Support]",Private,Interior and Narcotics Control
National,1,14,5,2,"Dr. Nisar Ahmad[PML-N]
Makhdoom Shah Mahmood Qureshi[PTI]
Jamshaid Ahmad Dasti[IND]","The Constitution (Amendment) Bill, 2013
[Support]",Private,Not Applicable
National,1,14,5,2,"Dr. Khalid Maqbool Siddiqui[MQM]
S. A. Iqbal Qadri[MQM]
Shaikh Salahuddin[MQM]
Sufyan Yousuf[MQM]
Dr. Muhammad Farooq Sattar[MQM]
Abdul Rashid Godil[MQM]
Muhammad Muzammil Qureshi[MQM]
Syed Asif Hasnain[MQM]
Sajid Ahmed[MQM]
Saman Sultana Jafri[MQM]","The Islamabad Capital Territory Local Government Bill, 2013
[Support]",Private,Interior and Narcotics Control
National,1,14,5,3,Sheikh Aftab Ahmed[PML-N],"The Federal Employees Benevolent Fund and Group Insurance (Amendment) Bill, 2013
[Support]",Government,Cabinet Secretariat
National,1,14,5,4,Sheikh Aftab Ahmed[PML-N],"The Legal Practitioners and Bar Councils (Amendment) Bill, 2013
[Support]",Government,"Law, Justice and Human Rights"
National,1,14,5,5,Sheikh Aftab Ahmed[PML-N],"The Federal Court (Repeal) Bill, 2013
[Support]",Government,"Law, Justice and Human Rights"
National,1,14,5,6,Sheikh Aftab Ahmed[PML-N],"The National Judicial (Policy Making) Committee (Amendment) Bill, 2013
[Support]",Government,Not Applicable
National,1,14,5,10,Sheikh Aftab Ahmed[PML-N],"The National Judicial (Policy Making) Committee (Amendment) Bill, 2013
[Support]",Government,"Law, Justice and Human Rights"
National,1,14,6,1,Sheikh Aftab Ahmed[PML-N],"The Law and Justice Commission of Pakistan (Amendment) Bill, 2013
[Support]",Government,Not Applicable
National,1,14,6,4,Sheikh Aftab Ahmed[PML-N],"The Protection of Pakistan Ordinance, 2013 (No. 9 of 2013)
[Support]",Government,Interior and Narcotics Control
National,1,14,6,4,Sheikh Aftab Ahmed[PML-N],"The Anti-terrorism (Amendment) Ordinance, 2013 (No. 8 of 2013)
[Support]",Government,Interior and Narcotics Control
National,1,14,6,4,Sheikh Aftab Ahmed[PML-N],"The Anti-terrorism (Amendment) Ordinance, 2013 (No. 7 of 2013)
[Support]",Government,Interior and Narcotics Control
National,1,14,6,5,Sheikh Aftab Ahmed[PML-N],"The Law and Justice Commission of Pakistan (Amendment) Bill, 2013
[Support]",Government,"Law, Justice and Human Rights"
National,1,14,6,6,Sheikh Aftab Ahmed[PML-N],"The Federal Employees Benevolent Fund and Group Insurance (Amendment) Bill, 2013
[Support]",Government,Cabinet Secretariat
National,1,14,6,7,Jamshaid Ahmad Dasti[IND],"The Constitution (Amendment) Bill, 2013
[Support]",Private,Not Applicable
National,1,14,6,7,Mohammad Ayaz Soomro[PPPP],"The Code of Criminal Procedure (Amendment) Bill, 2013
[Support]",Private,Not Applicable
